Tweet,New_Tweet
- disaat semua cowok berusaha melacak perhatian gue. loe lantas remehkan perhatian yg gue kasih khusus ke elo. basic elo cowok bego ! ! !', disaat semua cowok berusaha melacak perhatian saya loe lantas remehkan perhatian yg saya kasih khusus ke elo basic elo cowok bego 
RT USER: USER siapa yang telat ngasih tau elu?edan sarap gue bergaul dengan cigax jifla calis sama siapa noh licew juga', siapa yang telat ngasih tau elu edan sarap saya bergaul dengan cigax jifla calis sama siapa noh licew juga 
"41. Kadang aku berfikir, kenapa aku tetap percaya pada Tuhan padahal aku selalu jatuh berkali-kali. Kadang aku merasa Tuhan itu ninggalkan aku sendirian. Ketika orangtuaku berencana berpisah, ketika kakakku lebih memilih jadi Kristen. Ketika aku anak ter",41 kadang aku berfikir kenapa aku tetap percaya pada tuhan padahal aku selalu jatuh berkali kali kadang aku merasa tuhan itu ninggalkan aku sendirian ketika orangtuaku berencana berpisah ketika kakakku lebih memilih jadi kristen ketika aku anak ter
USER USER AKU ITU AKU\n\nKU TAU MATAMU SIPIT TAPI DILIAT DARI MANA ITU AKU', aku itu aku n nku tau matamu sipit tapi diliat dari mana itu aku 
USER USER Kaum cebong kapir udah keliatan dongoknya dari awal tambah dongok lagi hahahah', kaum cebong kapir udah keliatan dongoknya dari awal tambah dongok lagi hahahah 
USER Ya bani taplak dkk \xf0\x9f\x98\x84\xf0\x9f\x98\x84\xf0\x9f\x98\x84', ya bani taplak dkk xf0 x9f x98 x84 xf0 x9f x98 x84 xf0 x9f x98 x84 
deklarasi pilkada 2018 aman dan anti hoax warga dukuh sari jabon,deklarasi pilkada 2018 aman dan anti hoax warga dukuh sari jabon
Gue baru aja kelar re-watch Aldnoah Zero!!! paling kampret emang endingnya! 2 karakter utama cowonya kena friendzone bray! XD URL,saya baru aja kelar re watch aldnoah zero paling kampret emang endingnya 2 karakter utama cowonya kena friendzone bray xd url
"Nah admin belanja satu lagi port terbaik nak makan Ais Kepal Milo, Ais Kepal Horlicks atau Cendol Toping kaw kaw. ð??­; ; Doket mano tu ? Gerai Rojak Mertuaku - Taipan 2 (depan TWINS BABY &amp; ROMANTIKA / Bank Islam Senawang) ð???",nah admin belanja satu lagi po terbaik nak makan ais kepal milo ais kepal horlicks atau cendol toping kaw kaw doket mano tu gerai rojak me uaku taipan 2 depan twins baby amp romantika bank islam senawang 
USER Enak lg klo smbil ngewe', enak lg klo smbil ngewe 
"Setidaknya gw punya jari tengah buat lu, sebelom gw ukur nyali sama bacot lu \xf0\x9f\x98\x8f'",setidaknya gw punya jari tengah buat lu sebelom gw ukur nyali sama bacot lu xf0 x9f x98 x8f 
USER USER USER USER BANCI KALENG MALU GA BISA JAWAB PERTANYAAN KAMI DARI 2 HARI LALU.... NYUNGSEP KOE USER URL, banci kaleng malu ga bisa jawab pe anyaan kami dari 2 hari lalu nyungsep koe url
Kalo belajar ekonomi mestinya jago memprivatisasi hati orang. Duh.. ironi USER,kalo belajar ekonomi mestinya jago memprivatisasi hati orang duh ironi 
Aktor huruhara 98 Prabowo S ingin lengserkan pemerintahan Jokowi.... Nyata,aktor huruhara 98 prabowo s ingin lengserkan pemerintahan jokowi nyata
